,"Id","Label","name_cluster","nom_cluster","cluster.y","nom_cluster.1","nom_cluster.2","nom_cluster.3"
"15",15,"agriculture biologique","Luttes contre les nuisibles","Viticulture et pesticides",15,"Viticulture et pesticides","Viticulture et pesticides","Le vin"
"61",61,"bordelais","Luttes contre les nuisibles","Viticulture et pesticides",15,"Viticulture et pesticides","Viticulture et pesticides","Le vin"
"405",405,"sulfites","Luttes contre les nuisibles","Viticulture et pesticides",15,"Viticulture et pesticides","Viticulture et pesticides","Le vin"
"420",420,"traitements phytosanitaires","Luttes contre les nuisibles","Viticulture et pesticides",15,"Viticulture et pesticides","Viticulture et pesticides","Le vin"
"442",442,"vignerons","Luttes contre les nuisibles","Viticulture et pesticides",15,"Viticulture et pesticides","Viticulture et pesticides","Le vin"
"443",443,"vignes","Luttes contre les nuisibles","Viticulture et pesticides",15,"Viticulture et pesticides","Viticulture et pesticides","Le vin"
"445",445,"vins","Luttes contre les nuisibles","Viticulture et pesticides",15,"Viticulture et pesticides","Viticulture et pesticides","Le vin"
"446",446,"vins de bordeaux","Luttes contre les nuisibles","Viticulture et pesticides",15,"Viticulture et pesticides","Viticulture et pesticides","Le vin"
"1",1,"@genefutures","Expositions des riverains","Ecophyto et alternatives aux pesticides",2,"Plan écophyto","Régulation des pesticides","Plan écophyto"
"24",24,"alternatives","Expositions des riverains","Ecophyto et alternatives aux pesticides",2,"Plan écophyto","Régulation des pesticides","Plan écophyto"
"25",25,"alternatives aux pesticides","Expositions des riverains","Ecophyto et alternatives aux pesticides",2,"Plan écophyto","Régulation des pesticides","Plan écophyto"
"114",114,"coquelicots","Expositions des riverains","Ecophyto et alternatives aux pesticides",2,"Plan écophyto","Régulation des pesticides","Plan écophyto"
"146",146,"ecophyto","Expositions des riverains","Ecophyto et alternatives aux pesticides",2,"Plan écophyto","Régulation des pesticides","Plan écophyto"
"190",190,"générations futures","Expositions des riverains","Ecophyto et alternatives aux pesticides",2,"Plan écophyto","Régulation des pesticides","Plan écophyto"
"306",306,"pesticides","Expositions des riverains","Ecophyto et alternatives aux pesticides",2,"Plan écophyto","Régulation des pesticides","Plan écophyto"
"315",315,"plan ecophyto","Expositions des riverains","Ecophyto et alternatives aux pesticides",2,"Plan écophyto","Régulation des pesticides","Plan écophyto"
"437",437,"ventes de pesticides","Expositions des riverains","Ecophyto et alternatives aux pesticides",2,"Plan écophyto","Régulation des pesticides","Plan écophyto"
"41",41,"assemblée","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"42",42,"assemblée nationale","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"66",66,"campagne","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"82",82,"citoyens","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"85",85,"climat","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"111",111,"convention citoyenne","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"123",123,"débat","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"127",127,"démocratie participative","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"128",128,"député","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"141",141,"écolo","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"142",142,"ecologie","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"143",143,"écologie","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"144",144,"écologique","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"145",145,"écologiste","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"159",159,"emmanuel macron","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"195",195,"grand débat","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"216",216,"jadot","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"218",218,"jeune femme","Les affaires Monsanto","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"225",225,"libertés","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"234",234,"lobbies","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"235",235,"loi","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"238",238,"loi climat","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"239",239,"m. macron","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"242",242,"macron","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"259",259,"militante","Les affaires Monsanto","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"267",267,"mouvements","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"296",296,"paris","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"299",299,"parlementaires","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"318",318,"politique","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"325",325,"premier ministre","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"337",337,"propositions","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"392",392,"sénateur","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"421",421,"transition","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"38",38,"arrêté","Expositions des riverains","Epandage et riverains",22,"Epandage et riverains","Régulation des pesticides","Épandages et riverains"
"72",72,"cassation","Les affaires Monsanto","Epandage et riverains",22,"Epandage et riverains","Régulation des pesticides","Épandages et riverains"
"104",104,"conseil d'etat","Expositions des riverains","Epandage et riverains",22,"Epandage et riverains","Régulation des pesticides","Épandages et riverains"
"105",105,"conseil d'état","Expositions des riverains","Epandage et riverains",22,"Epandage et riverains","Régulation des pesticides","Épandages et riverains"
"110",110,"controverse scientifique","Expositions des riverains","Epandage et riverains",22,"Epandage et riverains","Régulation des pesticides","Épandages et riverains"
"115",115,"corinne lepage","Expositions des riverains","Epandage et riverains",22,"Epandage et riverains","Régulation des pesticides","Épandages et riverains"
"134",134,"distances minimales","Expositions des riverains","Epandage et riverains",22,"Epandage et riverains","Régulation des pesticides","Épandages et riverains"
"139",139,"école","Expositions des riverains","Epandage et riverains",22,"Epandage et riverains","Régulation des pesticides","Épandages et riverains"
"140",140,"école primaire","Luttes contre les nuisibles","Epandage et riverains",22,"Epandage et riverains","Régulation des pesticides","Épandages et riverains"
"151",151,"effets nocifs","Expositions des riverains","Epandage et riverains",22,"Epandage et riverains","Régulation des pesticides","Épandages et riverains"
"162",162,"épandages","Expositions des riverains","Epandage et riverains",22,"Epandage et riverains","Régulation des pesticides","Épandages et riverains"
"163",163,"épandages de pesticides","Expositions des riverains","Epandage et riverains",22,"Epandage et riverains","Régulation des pesticides","Épandages et riverains"
"224",224,"lepage","Expositions des riverains","Epandage et riverains",22,"Epandage et riverains","Régulation des pesticides","Épandages et riverains"
"246",246,"malaises","Les affaires Monsanto","Epandage et riverains",22,"Epandage et riverains","Régulation des pesticides","Épandages et riverains"
"254",254,"mesures de protection","Expositions des riverains","Epandage et riverains",22,"Epandage et riverains","Régulation des pesticides","Épandages et riverains"
"272",272,"nature environnement","Expositions des riverains","Epandage et riverains",22,"Epandage et riverains","Régulation des pesticides","Épandages et riverains"
"307",307,"pesticides à proximité","Expositions des riverains","Epandage et riverains",22,"Epandage et riverains","Régulation des pesticides","Épandages et riverains"
"338",338,"protection des riverains","Expositions des riverains","Epandage et riverains",22,"Epandage et riverains","Régulation des pesticides","Épandages et riverains"
"341",341,"pulvérisation aérienne","Expositions des riverains","Epandage et riverains",22,"Epandage et riverains","Régulation des pesticides","Épandages et riverains"
"342",342,"pulvérisations","Expositions des riverains","Epandage et riverains",22,"Epandage et riverains","Régulation des pesticides","Épandages et riverains"
"343",343,"pulvérisations de glyphosate","Expositions des riverains","Epandage et riverains",22,"Epandage et riverains","Régulation des pesticides","Épandages et riverains"
"364",364,"reprise des pulvérisations","Expositions des riverains","Epandage et riverains",22,"Epandage et riverains","Régulation des pesticides","Épandages et riverains"
"372",372,"riverains","Expositions des riverains","Epandage et riverains",22,"Epandage et riverains","Régulation des pesticides","Épandages et riverains"
"406",406,"suspension","Expositions des riverains","Epandage et riverains",22,"Epandage et riverains","Régulation des pesticides","Épandages et riverains"
"426",426,"tribunal administratif","Expositions des riverains","Epandage et riverains",22,"Epandage et riverains","Régulation des pesticides","Épandages et riverains"
"431",431,"ufc-que","Expositions des riverains","Epandage et riverains",22,"Epandage et riverains","Régulation des pesticides","Épandages et riverains"
"8",8,"agence","Controverse du glyphosate","Expertise sanitaire européenne",9,"Expertise sanitaire européenne","Régulation des pesticides","Le rapport du CIRC"
"47",47,"autorité européenne","Controverse du glyphosate","Expertise sanitaire européenne",9,"Expertise sanitaire européenne","Régulation des pesticides","Le rapport du CIRC"
"49",49,"avis","Controverse du glyphosate","Expertise sanitaire européenne",9,"Expertise sanitaire européenne","Régulation des pesticides","Le rapport du CIRC"
"67",67,"cancérogène","Controverse du glyphosate","Expertise sanitaire européenne",9,"Expertise sanitaire européenne","Régulation des pesticides","Le rapport du CIRC"
"68",68,"cancérogène probable","Controverse du glyphosate","Expertise sanitaire européenne",9,"Expertise sanitaire européenne","Régulation des pesticides","Le rapport du CIRC"
"74",74,"centre international","Controverse du glyphosate","Expertise sanitaire européenne",9,"Expertise sanitaire européenne","Régulation des pesticides","Le rapport du CIRC"
"96",96,"concentration maximale admissible","Controverse du glyphosate","Expertise sanitaire européenne",9,"Expertise sanitaire européenne","Régulation des pesticides","Le rapport du CIRC"
"109",109,"controverse","Controverse du glyphosate","Expertise sanitaire européenne",9,"Expertise sanitaire européenne","Régulation des pesticides","Le rapport du CIRC"
"138",138,"echa","Controverse du glyphosate","Expertise sanitaire européenne",9,"Expertise sanitaire européenne","Régulation des pesticides","Le rapport du CIRC"
"154",154,"efsa","Controverse du glyphosate","Expertise sanitaire européenne",9,"Expertise sanitaire européenne","Régulation des pesticides","Le rapport du CIRC"
"284",284,"oms","Controverse du glyphosate","Expertise sanitaire européenne",9,"Expertise sanitaire européenne","Régulation des pesticides","Le rapport du CIRC"
"377",377,"roundup de monsanto","Controverse du glyphosate","Expertise sanitaire européenne",9,"Expertise sanitaire européenne","Régulation des pesticides","Le rapport du CIRC"
"388",388,"sécurité des aliments","Controverse du glyphosate","Expertise sanitaire européenne",9,"Expertise sanitaire européenne","Régulation des pesticides","Le rapport du CIRC"
"434",434,"urine","Controverse du glyphosate","Expertise sanitaire européenne",9,"Expertise sanitaire européenne","Régulation des pesticides","Le rapport du CIRC"
"32",32,"anses","Expositions des riverains","Fongicides et SDHI",11,"Fongicides et SDHI","Expertise sanitaire","SDHI"
"45",45,"SDHi","Expositions des riverains","Fongicides et SDHI",11,"Fongicides et SDHI","Expertise sanitaire","SDHI"
"59",59,"blé dur","Luttes contre les nuisibles","Fongicides et SDHI",11,"Fongicides et SDHI","Expertise sanitaire","SDHI"
"60",60,"blé tendre","Luttes contre les nuisibles","Fongicides et SDHI",11,"Fongicides et SDHI","Expertise sanitaire","SDHI"
"121",121,"culture","Luttes contre les nuisibles","Fongicides et SDHI",11,"Fongicides et SDHI","Expertise sanitaire","SDHI"
"155",155,"élevage","Luttes contre les nuisibles","Fongicides et SDHI",11,"Fongicides et SDHI","Expertise sanitaire","SDHI"
"186",186,"fongicide","Luttes contre les nuisibles","Fongicides et SDHI",11,"Fongicides et SDHI","Expertise sanitaire","SDHI"
"292",292,"palmiers à huile","Luttes contre les nuisibles","Fongicides et SDHI",11,"Fongicides et SDHI","Expertise sanitaire","SDHI"
"308",308,"pesticides sdhi","Expositions des riverains","Fongicides et SDHI",11,"Fongicides et SDHI","Expertise sanitaire","SDHI"
"324",324,"pratiques","Luttes contre les nuisibles","Fongicides et SDHI",11,"Fongicides et SDHI","Expertise sanitaire","SDHI"
"353",353,"récolte","Luttes contre les nuisibles","Fongicides et SDHI",11,"Fongicides et SDHI","Expertise sanitaire","SDHI"
"358",358,"réglementation","Expositions des riverains","Fongicides et SDHI",11,"Fongicides et SDHI","Expertise sanitaire","SDHI"
"374",374,"roger genet","Expositions des riverains","Fongicides et SDHI",11,"Fongicides et SDHI","Expertise sanitaire","SDHI"
"387",387,"sdhi","Luttes contre les nuisibles","Fongicides et SDHI",11,"Fongicides et SDHI","Expertise sanitaire","SDHI"
"389",389,"sécurité sanitaire","Pollutions chimiques","Fongicides et SDHI",11,"Fongicides et SDHI","Expertise sanitaire","SDHI"
"435",435,"utilisation des pesticides","Luttes contre les nuisibles","Fongicides et SDHI",11,"Fongicides et SDHI","Expertise sanitaire","SDHI"
"16",16,"agroalimentaire","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"64",64,"bretagne","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"84",84,"claude le guyader","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"87",87,"collectifs","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"99",99,"conditions de travail","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"112",112,"coopérative agricole","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"113",113,"coopérative triskalia","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"177",177,"faute inexcusable","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"215",215,"intoxication aux pesticides","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"249",249,"marche des cobayes","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"278",278,"nutréa-triskalia","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"283",283,"omerta","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"354",354,"reconnaissance","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"379",379,"salariés","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"399",399,"soutien aux victimes","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"423",423,"travail","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"427",427,"triskalia","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"440",440,"victimes","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"23",23,"alternative écologique","La Loi Alimentation","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"30",30,"animal","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"31",31,"animal domestique","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"54",54,"bicarbonate de soude","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"88",88,"colmar","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"152",152,"efficaces","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"191",191,"gènes de résistance","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"211",211,"insectes","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"222",222,"laboratoires de recherche","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"257",257,"mildiou","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"277",277,"nouvelles variétés","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"279",279,"œuf","Résidu de pesticides","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"281",281,"oïdium","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"293",293,"parasite","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"317",317,"plantes","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"344",344,"punaise","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"345",345,"punaises de lit","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"346",346,"punaises diaboliques","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
